generation rock paper scissors lizzard spock
0  40000 40000 40000 40000 200
1 41350 38857 41133 38658 202
2 42630 37696 42276 37392 206
3 43998 36728 43268 35995 211
4 45513 35717 44184 34580 206
5 47070 34795 45008 33128 199
6 48678 34024 45654 31638 206
7 50279 33264 46301 30141 215
8 51947 32670 46764 28587 232
9 53657 32138 47042 27123 240
10 55318 31661 47313 25665 243
11 57008 31287 47394 24254 257
12 58810 30969 47245 22907 269
13 60480 30775 47048 21622 275
14 62191 30633 46739 20352 285
15 63948 30484 46320 19149 299
16 65579 30601 45683 18030 307
17 67288 30668 45020 16895 329
18 68820 30847 44316 15858 359
19 70299 31143 43453 14930 375
20 71725 31542 42555 13990 388
21 73069 32000 41615 13104 412
22 74195 32533 40731 12309 432
23 75361 33129 39706 11548 456
24 76364 33767 38751 10846 472
25 77249 34481 37826 10150 494
26 77971 35312 36846 9536 535
27 78632 36198 35823 8976 571
28 79071 37177 34920 8427 605
29 79473 38240 33933 7921 633
30 79475 39408 33129 7510 678
31 79406 40590 32358 7142 704
32 79250 41900 31541 6768 741
33 78908 43342 30742 6443 765
34 78305 44895 30066 6135 799
35 77657 46468 29422 5829 824
36 76906 48035 28878 5524 857
37 75922 49723 28390 5288 877
38 74877 51389 27907 5093 934
39 73627 53182 27513 4919 959
40 72409 54906 27179 4727 979
41 71042 56684 26932 4549 993
42 69592 58446 26767 4365 1030
43 68108 60268 26542 4228 1054
44 66413 62121 26435 4156 1075
45 64690 63872 26496 4046 1096
46 62962 65550 26610 3958 1120
47 61280 67232 26708 3852 1128
48 59536 68789 26940 3790 1145
49 57649 70390 27261 3740 1160
50 55846 71789 27663 3722 1180
51 54191 73077 28063 3697 1172
52 52443 74272 28636 3676 1173
53 50788 75395 29214 3649 1154
54 49157 76376 29867 3638 1162
55 47516 77330 30551 3643 1160
56 45863 78168 31392 3631 1146
57 44392 78798 32243 3638 1129
58 42906 79198 33319 3640 1137
59 41491 79495 34413 3646 1155
60 40144 79750 35456 3698 1152
61 38844 79840 36631 3729 1156
62 37655 79743 37866 3797 1139
63 36486 79532 39208 3840 1134
64 35574 79019 40644 3853 1110
65 34631 78405 42153 3914 1097
66 33722 77786 43668 3921 1103
67 32944 76924 45332 3898 1102
68 32256 75978 46984 3890 1092
69 31629 74846 48754 3879 1092
70 31114 73606 50532 3852 1096
71 30629 72264 52342 3859 1106
72 30310 70705 54211 3849 1125
73 30083 69142 56007 3832 1136
74 29896 67503 57870 3766 1165
75 29760 65844 59715 3694 1187
76 29696 64081 61579 3624 1220
77 29758 62238 63425 3532 1247
78 29878 60341 65263 3452 1266
79 30091 58466 66987 3347 1309
80 30312 56825 68458 3257 1348
81 30621 55069 69963 3155 1392
82 30991 53336 71387 3038 1448
83 31479 51588 72734 2906 1493
84 32132 49941 73772 2790 1565
85 32809 48385 74668 2700 1638
86 33563 46820 75580 2552 1685
87 34374 45229 76378 2446 1773
88 35287 43644 77092 2313 1864
89 36222 42259 77556 2197 1966
90 37232 40854 77948 2076 2090
91 38361 39572 78095 1960 2212
